"seq_dict_md","arbr_gen_dict_md","cle_dict_md","acr_dict_md","arbr_simpl_dic_md","abr_feuil_dict_md","def_dict_md","stat_dict_md","mot_cle_dict_md","seq_dict_md_pere","arbr_gen_pere_dict_md","id_ty_md","seq_dom","seq_dict_md_prop","acr_sn_md","acron_mot_dict","verr_dict_md","det_equiv_dict_md","det_categ_dict_md","det_mc_dict_md","det_fils_dict_md"
2034,"MPO.PSAR","MPO.PSAR","PSAR","MPO.PSAR","MPO.PSAR","Radiation photosynthétique active ou   'Photosynthetic active radiation'  unités: 'microEinstein/s/m**2'  Unités: 'kg/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PSAR",NULL,0,3,0,0
2052,"MPO.TRAN","MPO.TRAN","TRAN","MPO.TRAN","MPO.TRAN","Transmissivité.  Unités: '%'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","TRAN",NULL,0,3,0,0
2072,"MPO.SVEL","SVEL","SVEL","MPO.SVEL","MPO.SVEL","Vitesse du son  unités: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SVEL",NULL,0,3,0,0
2092,"MPO.CPHL","MPO.CPHL","CPHL","MPO.CPHL","MPO.CPHL","Contenu en chlorophylle a de l'eau de mer.  unités: 'mg/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CPHL",NULL,0,3,3,0
2093,"MPO.POC_","MPO.POC_","POC_","MPO.POC_","MPO.POC_","Contenu en carbone organique particulaire de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","POC_",NULL,0,3,3,0
2096,"MPO.PON_","MPO.PON_","PON_","MPO.PON_","MPO.PON_","Contenu en azote organique particulaire de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PON_",NULL,0,3,3,0
2097,"MPO.NTRZ","MPO.NTRZ","NTRZ","MPO.NTRZ","MPO.NTRZ","Contenu en nitrate et nitrite de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NTRZ",NULL,0,3,3,0
2098,"MPO.NTRI","MPO.NTRI","NTRI","MPO.NTRI","MPO.NTRI","Contenu en nitrite de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NTRI",NULL,0,3,3,0
2099,"MPO.NTRA","MPO.NTRA","NTRA","MPO.NTRA","MPO.NTRA","Contenu en nitrate de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NTRA",NULL,0,3,3,0
2100,"MPO.PHOS","MPO.PHOS","PHOS","MPO.PHOS","MPO.PHOS","Contenu en phosphate de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PHOS",NULL,0,3,3,0
