CODE,OWNER,STATUS,CATEGORY_MEANING_E,CATEGORY_MEANING_F,UNITS_DESCRIPTOR_E,UNITS_DESCRIPTOR_F,CF_CODE,NETCDF_LONG_NAME,WMO_CODE_TABLE_ID,CONVENTION
ABA$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
ABSH,BIO,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,
ABSH,IML,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,
ABSH,MEDS,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,absolute_humidity,,
AC2$,MEDS,A,General purpose,Tout usage,text,texte,,unique_number_HHMMSS_profNo
,,
AC2$,NODC,A,General purpose,Tout usage,text,texte,,,,
ACC$,MEDS,A,General purpose,Tout usage,text,texte,,accession_number_meds,,
ACC$,NODC,A,General purpose,Tout usage,text,texte,,,,
ACCS,MEDS,A,General purpose,Tout usage,text,texte,,,,
ACCS,NODC,A,General purpose,Tout usage,text,texte,,,,
ACF$,MEDS,A,General purpose,Tout usage,text,texte,,instrument_active_yn,,
ACI$,MEDS,A,General purpose,Tout usage,text,texte,,number_accession_tidal_station,,
ACT$,MEDS,A,General purpose,Tout usage,text,texte,,type_accession_tidal_station,,
ACY$,MEDS,A,General purpose,Tout usage,text,texte,,year_accession_tidal_station,,
ADDP,NODC,A,General purpose,Tout usage,text,texte,,,,
ADID,MEDS,A,General purpose,Tout usage,text,texte,,id_database_aodc,,
ADID,NODC,A,General purpose,Tout usage,text,texte,,,,
ADNB,MEDS,A,Wave,Vague,number,nombre,,number_of_blocks_averaged_in_spectrum,,
ADNS,MEDS,A,Wave,Vague,number,nombre,,number_of_samples_per_Fourier_block,,
ADPF,NODC,A,General purpose,Tout usage,text,texte,,,,
ADST,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control,,
ADSV,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control_variance,,
AED1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,wave_direction_AES_from_METOC_hindcast,,
AFC$,NODC,A,General purpose,Tout usage,text,texte,,,,
AFN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
ALKC,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
ALKP,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
ALKT,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
ALKY,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
ALKY,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
ALKY,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,alkalinity_total,,
ALKY,NODC,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
ALLO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
ALPO,BIO,A,General purpose,Tout usage,metre cube per kilogram,mètre cube par kilogramme,,,,
ALPO,IML,A,General purpose,Tout usage,metre cube per kilogram,mètre cube par kilogramme,,,,
ALTB,BIO,A,Position and navigation,Position et navigation,metre,mètre,,height_above_bottom,,
ALTB,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_of_instrument_above_bottom,,
ALTG,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_ground_level,,
ALTS,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,
ALTS,IML,A,Position and navigation,Position et navigation,metre,mètre,,,,
ALTS,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_mean_sea_level,,
AMON,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
AMON,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
AMON,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,mole_concentration_of_ammonium_in_sea_water,mole_concentration_of_ammonium_in_water,,
AMON,NODC,A,Chemistry,Chimie,millimole per litre cube,millimole par litre cube,,,,
ANH$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,height_of_anemometer_above_sea_level,,
ANH$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,,,
ANT$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,anemometer_type,114,
ANT$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,,,
APC1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_surface_current,,
APER,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_for_averaging_measurement,264,
APN$,MEDS,A,General purpose,Tout usage,text,texte,,period_for_averaging_salinity,,
APN$,NODC,A,General purpose,Tout usage,text,texte,,,,
APP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,count,compte,,,,
APR$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
APS1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,,,
APT1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_temperature,,
AQA$,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,,
AQA$,NODC,A,Position and navigation,Position et navigation,text,texte,,,,
AREA,MEDS,A,General purpose,Tout usage,code table,table de code,,area_code_NODC,,
AREA,NODC,A,Position and navigation,Position et navigation,text,texte,,,,
ARG$,MEDS,A,General purpose,Tout usage,number,nombre,,,,
ARG$,NODC,A,General purpose,Tout usage,text,texte,,,,
AST1,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,
AST2,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,
ASTD,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,air_sea_temperature_difference,,
ATBE,MEDS,A,Biology,Biologie,per metre,par mètre,,,,
ATCK,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_attack_aircraft,,
ATMP,MEDS,A,Meteorology,Météorologie,hectopascal,hectopascal,,atmospheric_pressure_at_altitude,,
ATMP,NODC,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,
ATMS,BIO,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,
ATMS,IML,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,
ATMS,MEDS,A,Meteorology,Météorologie,hectopascal,hectopascal,air_pressure_at_sea_level,,,
ATMS,NODC,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,
ATP$,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
ATPT,MEDS,A,Meteorology,Météorologie,hectopascal per hour,hectopascal par heure,tendency_of_air_pressure,,,
ATPT,NODC,A,Meteorology,Météorologie,hectopascal per hour,hectopascal par heure,,,,
ATP_,IML,A,Other organic chemical measurements,Autres mesures chimiques organiques,milligram per metre cube,milligramme par mètre cube,,,,
ATRK,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,
ATRK,IML,A,Position and navigation,Position et navigation,metre,mètre,,,,
ATRK,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,displacement_along_track,,
ATTE,MEDS,A,Geophysics,Géophysique,per metre,par mètre,,light_attenuation,,
ATTU,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,per metre,par mètre,,,,
ATTU,IML,A,Instrument characteristics,Caractéristiques de l'instrument,per metre,par mètre,,,,
AUTH,IML,A,Biota composition,Composition du biote,text,texte,,,,
AVP$,MEDS,A,Physical Oceanography,Océanographie physique,decibar,decibar,,pressure_average_of_drifting_platform,,
AVT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_average_at_depth,,
Adenosine_Triphosphate,IOS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
Alkalinity:Carbonate,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Alkalinity:Total,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Alkalinity:Total:CRM:Corrected,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Alkalinity:Total:Colorimetric,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Aluminum:Dissolved,IOS,A,Chemistry,Chimie,picomole per litre,picomole par litre,,,,
Ammonium,IOS,A,Chemistry,Chimie,micromole per litre,micromole par litre,,,,
B12$,MEDS,A,Chemistry,Chimie,nanogram per litre,nanogramme par litre,,vitamin_b12,,
B14$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
B14$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BAC$,MEDS,A,Biological Oceanography,Océanographie biologique,million per litre,million par litre,,bacteria_count,,
BAND,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,bandwidth_of_spectral_analysis,,
BATH,BIO,A,Geophysics,Géophysique,metre,mètre,,,,
BATH,IML,A,Geophysics,Géophysique,metre,mètre,,,,
BATH,MEDS,A,Geophysics,Géophysique,metre,mètre,sea_floor_depth_below_sea_level,,,
BATH,NODC,A,Geophysics,Géophysique,metre,mètre,,,,
BATT,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BATT,IML,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BBC$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,milliampere,milliampère,,,,
BBCA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
BBV$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BCI$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,indicator_method_of_current_measurement,2266,
BCI$,NODC,A,Position and navigation,Position et navigation,code table,table de code,,,,
BCN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,milliampere,milliampère,,,,
BDIR,MEDS,A,Wave,Vague,degree(angle),degré(angle),,bandwidth_of_directional_analysis,,
BEAM,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,
BEAM,IML,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,
BECA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
BEST,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,bandwidth_of_spetcral_component,,
BKT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,bucket_sample,,
BMS$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,
BOTN,MEDS,A,General purpose,Tout usage,unknown,inconnu,,,,
BPH$,MEDS,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,phase_obtained_by_blue_light_excitation_of_a_platinum_porphyrin_complex_in_the_anderaa_optode_model_3830,,
BPP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
BQA$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,qa_in_buoy_code_form,3302,
BQA$,NODC,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
BQZ$,MEDS,A,Methods,Méthodes,text,texte,,depth_correction_indicator,3318,
BQZ$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,
BRIT,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,brightness_or_radiative_temperature,,
BSD$,MEDS,I,Time and frequency,Temps et fréquence,hour,heure,,,,
BTC1,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_correction_BT,,
BTN1,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,number_slide_BT,,
BTP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,type_buoy,370,
BTP$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,
BTR1,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_reference_surface_BT,,
BTS1,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_surface_BT,,
BUTA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
BUTL,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
BV7$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BV7$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,
BYM$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
BYM$,NODC,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
Bacteria,IOS,A,Bacteria and viruses,Bactéries et virus,million per millilitre,million par millilitre,,,,
Barium:Dissolved,IOS,A,Chemistry,Chimie,nanomole per litre,nanomole par litre,,,,
Bottle_Number,IOS,A,General purpose,Tout usage,unknown,inconnu,,,,
C1C2,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
CALK,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CALK,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CALK,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,carbonate_alkalinity,,
CALK,NODC,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CAPO,MEDS,A,Chemistry,Chimie,microgram per litre,microgramme par litre,,,,
CARO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
CAST,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,type_hydrographic_cast,,
CAST,NODC,A,Physical Oceanography,Océanographie physique,text,texte,,,,
CBDV,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
CCCC,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,code table,table de code,,indicator_data_cycle_overflow,,
CCLL,MEDS,A,General purpose,Tout usage,code table,table de code,,call_sign_platform,,
CCLL,NODC,A,General purpose,Tout usage,text,texte,,,,
CCVR,MEDS,A,Meteorology,Météorologie,number,nombre,cloud_area_fraction,total_cloud_cover,,
CCVR,NODC,A,Meteorology,Météorologie,text,texte,,,,
CDD$,NODC,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
CDE$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,second,seconde,,,,
CDOR,MEDS,A,Biology,Biologie,relative,relatives,,,,
CDP$,NODC,A,Meteorology,Météorologie,part per million,partie par million,,,,
CDX$,NODC,A,Meteorology,Météorologie,part per million,partie par million,,,,
CDX1,MEDS,A,Chemistry,Chimie,milligram per litre,milligramme par litre,,dissolved_organic_C,,
CFLG,MEDS,A,General purpose,Tout usage,code table,table de code,,flag_data_continuation,,
CHAC,NODC,A,General purpose,Tout usage,text,texte,,,,
CHAN,MEDS,A,General purpose,Tout usage,number,nombre,,number_of_sensor_channels,,
CHB$,MEDS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,concentration_of_chlorophyll_b_in_water,,
CHC$,MEDS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,concentration_of_chlorophyll_c_in_water,,
CHCD,NODC,A,General purpose,Tout usage,text,texte,,,,
CHCH,MEDS,A,General purpose,Tout usage,code table,table de code,,,,
CHDA,NODC,A,General purpose,Tout usage,text,texte,,,,
CHDP,NODC,A,General purpose,Tout usage,text,texte,,,,
CHLR,BIO,A,Physical Oceanography,Océanographie physique,gram per kilogram,gramme par kilogramme,,,,
CHLR,IML,A,Physical Oceanography,Océanographie physique,gram per kilogram,gramme par kilogramme,,,,
CHLR,MEDS,A,Physical Oceanography,Océanographie physique,gram per kilogram,gramme par kilogramme,,chlorinity_of_water,,
CHLS,BIO,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,
CHLS,IML,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,
CHLS,MEDS,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,chlorosity_of_water,,
CHLT,NODC,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
CHPF,NODC,A,General purpose,Tout usage,text,texte,,,,
CIDA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
CITW,NODC,A,General purpose,Tout usage,text,texte,,,,
CLC3,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
CLCL,MEDS,A,Meteorology,Météorologie,code table,table de code,,type_of_low_altitude_cloud,513,
CLCM,MEDS,A,Meteorology,Météorologie,code table,table de code,,amount_of_low_or_medium_altitude_cloud,2700,
CLCM,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
CLDA,MEDS,A,Meteorology,Météorologie,code table,table de code,,amount_of_cloud_total,2700,
CLDA,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
CLDB,MEDS,A,Meteorology,Météorologie,metre,mètre,,altitude_of_cloud_base,,
CLDH,MEDS,A,Meteorology,Météorologie,code table,table de code,,height_of_cloud_base,1600,
CLDT,MEDS,A,Meteorology,Météorologie,code table,table de code,,type_of_cloud_wmo_table_500,500,
CLDT,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
CLN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,length_of_cable_suspended_beneath_platforms,,
CLW1,MEDS,A,Wave,Vague,number,nombre,,,,
CLW2,MEDS,A,Wave,Vague,number,nombre,,,,
CLW3,MEDS,A,Wave,Vague,hertz,hertz,,,,
CLW4,MEDS,A,Wave,Vague,percent,pourcentage,,,,
CLW5,MEDS,A,Wave,Vague,hertz,hertz,,,,
CLW6,MEDS,A,Wave,Vague,hertz,hertz,,,,
CLW7,MEDS,A,Wave,Vague,metre per hertz,mètre par hertz,,,,
CLW8,MEDS,A,Wave,Vague,metre,mètre,,,,
CMCM,MEDS,A,Meteorology,Météorologie,code table,table de code,,type_of_cloud_medium_altitude,515,
CMTM,BIO,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
CMTM,IML,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
CNDC,BIO,A,Physical Oceanography,Océanographie physique,mho per metre,mho par mètre,,,,
CNDC,IML,A,Physical Oceanography,Océanographie physique,mho per metre,mho par mètre,,,,
CNDC,MEDS,A,Physical Oceanography,Océanographie physique,mho per metre,mho par mètre,,electrical_conductivity_of_water,,
CNQF,MEDS,A,Chemistry,Chimie,code table,table de code,,flag_chemical_content_qualifier,,
CNTR,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,
CNTR,IML,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,
CNV$,MEDS,A,General purpose,Tout usage,text,texte,,,,
COND,BIO,A,Physical Oceanography,Océanographie physique,millimho,millimho,,,,
COND,IML,A,Physical Oceanography,Océanographie physique,millimho,millimho,,,,
COND,NODC,A,Physical Oceanography,Océanographie physique,text,texte,,,,
CORG,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CORG,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CORG,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,mole_concentration_of_organic_carbon_in_water,,
CORG,NODC,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CP1$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,centibars,centibar,,,,
CPH$,MEDS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,mass_concentration_of_chlorophyll_a_in_water_by_welschmeyer_method,,
CPH$,NODC,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
CPHL,BIO,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
CPHL,IML,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
CPHL,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,mass_concentration_of_chlorophyll_a_in_sea_water,mass_concentration_of_chlorophyll_a_in_water,,
CPHL,NODC,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
CPX1,MEDS,A,Chemistry,Chimie,milligram per litre,milligramme par litre,,concentration_of_particular_carbon_in_water,,
CRAT,BIO,A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,
CRAT,IML,A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,
CRC$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,code_circular_redundancy_32bit,,
CRC$,NODC,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
CRID,NODC,A,General purpose,Tout usage,text,texte,,,,
CSC1,MEDS,A,General purpose,Tout usage,text,texte,,name_of_chief_scientist,,
CSC1,NODC,A,General purpose,Tout usage,text,texte,,,,
CSC2,MEDS,A,General purpose,Tout usage,text,texte,,name_of_second_chief_scientist,,
CSC3,MEDS,A,General purpose,Tout usage,text,texte,,name_of_third_chief_scientist,,
CSID,MEDS,A,General purpose,Tout usage,text,texte,,id_database_csiro,,
CSID,NODC,A,General purpose,Tout usage,text,texte,,,,
CSL$,MEDS,A,Geophysics,Géophysique,metre,mètre,,length_of_core_sample_analysed,,
CSN$,MEDS,A,General purpose,Tout usage,text,texte,,call_sign_platform,,
CSN$,NODC,A,General purpose,Tout usage,text,texte,,,,
CTD_Cast_Number,IOS,A,General purpose,Tout usage,dimensionless,sans dimension,,,,
CTF$,MEDS,A,General purpose,Tout usage,code table,table de code,,indicator_of_failed_quality_control_tests_for_chemical_data,,
CTOT,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CTOT,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
CTOT,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,mole_concentration_of_total_carbon_in_water,,
CTP$,MEDS,A,General purpose,Tout usage,code table,table de code,,indicator_of_performed_quality_control_tests_for_chemical_data,,
CTS$,MEDS,A,General purpose,Tout usage,text,texte,,number_serial_of_controller_board,,
CTY$,MEDS,A,General purpose,Tout usage,text,texte,,type_of_controller_board,,
CVTQ,MEDS,A,Meteorology,Météorologie,degree Celsius gram per kilogram,degré Celsius gramme par kilogramme,,co-variance_of_air_temperature_and_specific_humidity,,
CVWQ,MEDS,A,Meteorology,Météorologie,metre gram per second kilogram,mètre gramme par seconde kilogramme,,co-variance_of_wind_speed_and_specific_humidity,,
CVWS,MEDS,A,Meteorology,Météorologie,metre square per second square,mètre carré par seconde carré,,co-variance_of_wind_speed_components,,
CVWT,MEDS,A,Meteorology,Météorologie,degree Celsius metre per second,degré Celsius mètre par seconde,,co-variance_of_wind_speed_and_air_temperature,,
Calcium:Total,IOS,A,Chemistry,Chimie,millimole per kilogram,millimole par kilogramme,,,,
Carbon:Dissolved:Inorganic,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Carbon:Dissolved:Organic,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Carbon:Isotope:13,IOS,A,Isotopes,Isotopes,per thousand,par mille,,,,
Carbon:Isotope:18,IOS,A,Isotopes,Isotopes,per thousand,par mille,,,,
Carbon:Particulate:Organic,IOS,A,Chemistry,Chimie,microgram per litre,microgramme par litre,,,,
Carbon:Particulate:Total,IOS,A,Chemistry,Chimie,micromole per litre,micromole par litre,,,,
Carbon:Total:Organic,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Carbon_dioxide:Total,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,
Carbontetrachloride,IOS,A,Chemistry,Chimie,picomole per litre,picomole par litre,,,,
Chlorofluorocarbon_11,IOS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,,,
Chlorofluorocarbon_11,IOS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,,,
Chlorofluorocarbon_113,IOS,A,Chemistry,Chimie,picomole per litre,picomole par litre,,,,
Chlorofluorocarbon_12,IOS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,,,
Chlorofluorocarbon_12,IOS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,,,
Chlorophyll:Extracted,IOS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,
Chlorophyll:Extracted,IOS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
Chlorophyll:Extracted:<5.0um,IOS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
Chlorophyll:Extracted:>0.7um,IOS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
Chlorophyll:Extracted:>5.0um,IOS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
Chlorophyll_plus_Phaeo-Pigment:Extracted,IOS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
DAT#,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_originator_NODC,,
DATE,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_within_year_MMDD,,
DATE,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DATM,MEDS,A,Geophysics,Géophysique,code table,table de code,,datum_bathymetric,,
DAY$,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DAYS,MEDS,A,Date and time within day,Date et temps dans une journée,number,nombre,,day_within_year,,
DBID,NODC,A,General purpose,Tout usage,text,texte,,,,
DCHG,BIO,A,Physical Oceanography,Océanographie physique,metre cube per second,mètre cube par seconde,,,,
DCHG,IML,A,Physical Oceanography,Océanographie physique,metre cube per second,mètre cube par seconde,,,,
DCLN,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,magnetic_declination,,
DDB$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DDS$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DDS$,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DEB$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
DEC$,MEDS,A,General purpose,Tout usage,code table,table de code,,,,
DENS,BIO,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,
DENS,IML,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,
DENS,MEDS,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,sea_water_density,,,
DEOW,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,code_magnetic_declination_1_E_2_W,,
DEPC,NODC,A,Methods,Méthodes,text,texte,,,,
DEPH,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,
DEPH,IML,A,Position and navigation,Position et navigation,metre,mètre,,,,
DEPH,MEDS,A,Position and navigation,Position et navigation,metre,mètre,depth,depth_of_instrument,,
DEPH,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,,,
DEPO,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,
DEPP,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
DEPT,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,
