ios_name,accepted_units,equivalent_to,apply_func,datatype,long_name,standard_name,units,scale,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,rename,need_review,file,ios_type,file_extension
salinity:cur,ppt,,,float32,Sea Water Practical Salinity,sea_water_practical_salinity,PPT,,,,,,ODSDM021,,,,
salinity:t0:c0,PSS-78,,,float32,Salinity T0 C0,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST01,,,,,,,,
salinity:t0:c0,umol\/kg,,,,,sea_water_salinity,umol/kg,,SDN:P01::SSALBSTX,,,,,,,,
salinity:t0:c0,,,,,,sea_water_practical_salinity,,,SDN:P01::PSALST01,,,,,,,,
salinity:t1:c1,PSS-78,,,float32,Salinity T1 C1,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST02,,,,,,,,
salinity:upcast,PSS-78,,,float32,Salinity Upcast,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST01,,,,,,4.0,F,{'CTD'}
sample_method,None,,,NQ,Sample Method,,,,,,,,,,,,
sample_method,,,,,,,,,,,,,,,,,
sample_number,None,,,int,,,,,,,,,,,,,
sample_number,,,,,,,,,,,,,,,,,
sample_order,None,,,int32,Sample Order,,,,,,,,,,277.0,I4,{'BOT'}
sample_order,,,,,,,,,,,,,,,,,
sampler_id_number,None,,,' ',Sampler ID Number,,,,,,,,,,264.0,' ',{'BOT'}
sampler_id_number,,,,,,,,,,,,,,,,,
sampler_type,None,,,' ',Sampler Type,,,,,,,,,,281.0,' ',{'BOT'}
sampler_type,,,,,,,,,,,,,,,,,
scan_number,None,,,float32,Scan Number,,,,,,,,,,206.0,F,{'CTD'}
scan_number,,,,,,,,,,,,,,,,,
sigma-t,kg\/m,,,,,sea_water_sigma_t,kg/m,,SDN:P01::SIGTPR01,,,,,,,,
sigma-t,kg\/m\^3,,,float32,Sigma-theta,sea_water_sigma_t,kg/m^3,,SDN:P01::SIGTPR01,,,,SIGTEQST,,,,
sigma-t,,,,float32,Sigma-theta,sea_water_sigma_t,,,SDN:P01::SIGTPR01,,,,SIGTEQST,weird units n/a,,,
sigma-t:ctd,Kg\/m\^3,,,float32,Sigma-t CTD,,Kg/m^3,,,,,,,,,,
sigmat-t,,,,,Sigmat-T,,,,,,,,,,378.0,,{'BOT'}
silicate,microg-at/l,,,' ',Silicate,mass_concentration_of_silicate_in_sea_water,microg-at/l,,SDN:P01::SLCAZZXX,,,,,,210.0,' ',{'BOT'}
silicate,microg-at\/l,,,,,mass_concentration_of_silicate_in_sea_water,microg-at/l,,SDN:P01::SLCAZZXX,,,,,,,,
silicate,mmol\/m,,,,,mole_concentration_of_silicate_in_sea_water,mmol/m,,SDN:P01::SLCAZZXX,,,,,,,,
silicate,ug-at\/L,,,float32,Silicate,mass_concentration_of_silicate_in_sea_water,ug-at/L,,SDN:P01::SLCAZZXX,,,,,,57.0,F6.1,"{'CHE, 'UBC'}"
silicate,umol\/L,,,,,mole_concentration_of_silicate_in_sea_water,umol/L,,SDN:P01::SLCAZZXX,,,,,,,,
silicate,umol\/l|umol\/L|mmol\/m,,,float32,Mole Concentration of Silicate in Sea Water,mole_concentration_of_silicate_in_sea_water,umol/L,,,,,,SLCAAAZ,,,,
silicate2,umol\/L,,,float32,Silicate2,mole_concentration_of_silicate_in_sea_water,umol/L,,SDN:P01::SLCAZZXX,,,,,,62.0,F,{'CHE'}
silicate:acidified,umol\/L,,,float32,Silicate Acidified,mole_concentration_of_silicate_in_sea_water,umol/L,,SDN:P01::SLCAZZXX,,,,,,84.0,F,{'BOT'}
silicate:corrected,umol\/L,,,float32,Silicate Corrected,mole_concentration_of_silicate_in_sea_water,umol/L,,SDN:P01::SLCAZZXX,,,,,,139.0,F,{'CHE'}
sound velocity,m\/s,,,float32,Sound Velocity,,m/s,,,,,,,,,,
sound velocity,,,,float32,speed_of_sound_in_sea_water,m/s,,,,,,,SVELCV01,,,,
speed,cm\/s,,,float32,sea_water_speed,cm/s,,,,,,,LCSAEL01,,,,
speed,m\/s,,,float32,,m/s,,,,,,,LCSAEL01,,,,
speed,,,,float32,sea_water_speed,cm/s,,,,,,,LCSAEL01,,,,
speed:east,,,,float32,eastward_sea_water_velocity,cm/s,,,,,,,LCEWEL01,,,,
speed:gust,m\/s,,,None,Speed Gust,,,,,,,,,,7.0,None,{'ANE'}
speed:gust:1,m\/s,,,float32,Speed Gust 1,,m/s,,,,,,,,1.0,F,{'ANE'}
speed:gust:2,m\/s,,,float32,Speed Gust 2,,m/s,,,,,,,,1.0,F,{'ANE'}
speed:north,,,,float32,northward_sea_water_velocity,cm/s,,,,,,,LCNSEL01,,,,
speed:sound,m,,,,,speed_of_sound_in_sea_water,m,,SDN:P01::SVELXXXX,,,,,,,,
speed:sound,m\/s,,,,,speed_of_sound_in_sea_water,m/s,,SDN:P01::SVELXXXX,,,,,,,,
speed:sound,,,,float32,speed_of_sound_in_sea_water,m/s,,,,,,,SVELCV01,,,,
speed:sound:1,,,,float32,speed_of_sound_in_sea_water,m/s,,,,,,,SVELCV01,,,,
speed:sound:2,,,,float32,speed_of_sound_in_sea_water,m/s,,,,,,,SVELCV02,,,,
speed:up,,,,float32,upward_sea_water_velocity,cm/s,,,,,,,LRZASP01,,,,
speed:wind,m\/s,,,float32,Speed Wind,,m/s,,,,,,,,,,
speed:wind:1,m\/s,,,float32,Speed Wind 1,,m/s,,,,,,,,1.0,F,{'ANE'}
speed:wind:2,m\/s,,,float32,Speed Wind 2,,m/s,,,,,,,,1.0,F,{'ANE'}
speed:wind:east,m\/s,,,None,Speed Wind East,,,,,,,,,,6.0,None,{'ANE'}
speed:wind:flag,,,,int32,Speed Wind Flag,,,,,,,,,,3.0,I,{'ANE'}
speed:wind:high,m\/s,,,float32,Speed Wind High,,m/s,,,,,,,,9.0,F,{'ANE'}
speed:wind:north,m\/s,,,None,Speed Wind North,,,,,,,,,,6.0,None,{'ANE'}
speed:wind_high,m\/s,,,float32,Speed Wind High,,m/s,,,,,,,,,,
speed:wind_high:flag,None,,,int32,Speed Wind High Flag,,,,,,,,,,3.0,I,{'ANE'}
spm,mg\/L,,,float32,SPM,mass_concentration_of_suspended_matter_in_sea_water,mg/L,,,,,,,,30.0,F,{'CHE'}
station,None,,,' ',Station,,,,,,,,,,1.0,' ',{'BOT'}
station,,,,,,,,,,,,,,,,,
station_name,None,,,NQ,Station Name,,,,,,,,,,,,
str_id,None,,,str,,,,,,,,,,,,,
sulphate so4,mol\/m,,,float32,Sulphate SO4,,mol/m,,SDN:P01::SO4XCLP1,,,,,,7.0,F,{'UBC'}
temperature,DEG C (ITS 68),,,,,sea_water_temperature,deg C (IPTS68),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP681,SDN:P01::TEMPS681",,,,,,,,
temperature,DEG C|Deg c|deg C|deg c|degc|deg C|Degrees_C,,,,Sea Water Temperature,sea_water_temperature,degree_celsius,,,,,,,,406.0,,"{'UBC, 'BOT'}"
temperature,ITS90|ITS\-90|deg C \(ITS\-90\)|deg C\s*\(ITS(\s||\-)90\),,,float32,Sea Water Temperature,sea_water_temperature,degree_celsius (ITS-90),ITS-90,,,,,TEMPS9,,,,
temperature,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP681,SDN:P01::TEMPS681",,,,,,,,
temperature,deg C \(IPTS68\)|IPTS-68|IPTS68|DEG C \(ITS 68\),,,float32,Sea Water Temperature,sea_water_temperature,degree_celsius (IPTS-68),IPTS-68,,,,,TEMPS6,,,,
temperature,deg C\s*\(ITS[-\s]*90\),,,,,sea_water_temperature,deg C (ITS-90),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP901,SDN:P01::TEMPS901",,,,,,,,
temperature,deg C|Degrees_C|DEG C,,,,,sea_water_temperature,deg C,,SDN:P01::TEMPPR01,,,,,,,,
temperature:air,deg C,,,float32,Temperature Air,,degree_celsius,,,,,,,,,,
temperature:air,deg c \(ITS-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Air,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:air:1,deg C,,,float32,Temperature Air 1,,degree_celsius,,,,,,,,1.0,F,{'ANE'}
temperature:air:2,deg C,,,float32,Temperature Air 2,,degree_celsius,,,,,,,,1.0,F,{'ANE'}
temperature:air:dew_point,deg C,,,float32,Temperature Air Dew Point,,degree_celsius,,,,,,,,,,
temperature:air:dew_point,deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\)|deg c \(ITS\-90\),,,float32,Temperature Air Dew Point,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:air:dew_point:inside,deg C,,,float32,Temperature Air Dew Point Inside,,degree_celsius,,,,,,,,,,
temperature:air:dew_point:inside,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Air Dew Point Inside,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:air:flag,,,,int32,Temperature Air Flag,,,,,,,,,,3.0,I,{'ANE'}
temperature:air:high,deg C,,,float32,Temperature Air High,,degree_celsius,,,,,,,,,,
temperature:air:high,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Air High,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:air:high:flag,,,,int32,Temperature Air High Flag,,,,,,,,,,3.0,I,{'ANE'}
temperature:air:inside,deg C,,,float32,Temperature Air Inside,,degree_celsius,,,,,,,,,,
temperature:air:inside,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Air Inside,,degree_celsius (ITS-90),,,,,,,,29.0,F,{'ANE'}
temperature:air:low,deg C,,,float32,Temperature Air Low,,degree_celsius,,,,,,,,,,
temperature:air:low,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Air Low,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:air:low:flag,,,,int32,Temperature Air Low Flag,,,,,,,,,,3.0,I,{'ANE'}
temperature:bt,deg C,,,float32,Temperature BT,sea_water_temperature,deg C,,"SDN:P01::TEMPPR01,SDN:P01::TEMPRTNX",,,,,,178.0,F,{'BOT'}
temperature:bucket,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,SDN:P01::TEMPPR01,,,,,,,,
temperature:bucket,deg C \(IPTS68\),,,float32,Temperature Bucket,,,,,,,,,,135.0,F,{'BOT'}
temperature:ctd,deg C (ITS90),,,,,sea_water_temperature,deg C (ITS-90),,"SDN:P01::TEMPPR01,SDN:P01::TEMPS901",,,,,,,,
temperature:ctd,deg C \(ITS90\),,,float32,Temperature CTD,,degree_celsius (ITS-90),,,,,,,,,,
temperature:cur,deg C \(IPTS68\),,,float32,Sea Water Temperature,sea_water_temperature,degree_celsius (IPTS-68),,,,,,TEMPP681,,,,
temperature:cur,deg c|degc,,,float32,Sea Water Temperature,sea_water_temperature,degree_celsius,,,,,,TEMPPR01,,,,
temperature:cur:high_res,deg C \(IPTS68\),,,float32,Sea Water Temperature (High Resolution),sea_water_temperature,degree_celsius (IPTS-68),,,,,,TEMPP682,,,,
temperature:cur:high_res,deg c|degc,,,float32,Sea Water Temperature (High Resolution),sea_water_temperature,degree_celsius,,,,,,TEMPPR02,,,,
temperature:cur:low_res,deg C \(IPTS68\),,,float32,Sea Water Temperature (Low Resolution),sea_water_temperature,degree_celsius (IPTS-68),,,,,,TEMPP683,,,,
temperature:cur:low_res,deg c|degc,,,float32,Sea Water Temperature (Low Resolution),sea_water_temperature,degree_celsius,,,,,,TEMPPR03,,,,
temperature:draw,deg C (ITS90),,,,,sea_water_temperature,deg C (ITS-90),,,,,,,,,,
temperature:draw,deg C \(ITS90\),,,float32,Temperature Draw,,degree_celsius (ITS-90),,,,,,,,,,
temperature:flag,,,,int32,Temperature Flag,,,,,,,,,,2.0,I,{'ANE'}
temperature:heat_index,deg C,,,float32,Temperature Heat Index,,degree_celsius,,,,,,,,,,
temperature:heat_index,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Heat Index,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:heat_index:inside,deg C,,,float32,Temperature Heat Index Inside,,degree_celsius,,,,,,,,,,
temperature:heat_index:inside,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Heat Index Inside,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:high_res,deg C,,,float32,Sea Water Temperature High Res,,degree_celsius,,,,,,,,,,
temperature:intake,deg C \(ITS90\),,,float32,Temperature Intake,,degree_celsius (ITS-90),,,,,,,,,,
temperature:lab,deg C \(ITS90\),,,float32,Temperature Lab,,degree_celsius (ITS-90),,,,,,,,,,
temperature:low_res,deg C \(IPTS68\),,,float32,Sea Water Temperature Low Res,,degree_celsius (IPTS-68),,,,,,,,,,
temperature:oxygen,DEG C,,,float32,Temperature Oxygen,temperature_of_sensor_for_oxygen_in_sea_water,DEG C,,SDN:P01::OXYTAAOP,,,,,,206.0,F,{'CTD'}
temperature:primary,DEG C \(ITS90\),,,float32,Temperature Primary,,degree_celsius (ITS-90),,,,,,,,206.0,F,{'CTD'}
temperature:primary,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP681",,,,,,,,
temperature:primary,deg C (ITS90)|DEG C (ITS90),,,,,sea_water_temperature,deg C (ITS-90),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP901,SDN:P01::TEMPS901",,,,,,,,
temperature:primary,deg C \(IPTS68\),,,float32,Temperature Primary,,degree_celsius (IPTS-68),,,,,,,,,,
temperature:primary,deg C \(ITS90\),,,float32,Temperature Primary,,degree_celsius (ITS-90),,,,,,,,,,
temperature:reversing,deg C,,,float32,Temperature Reversing,sea_water_temperature,deg C,,"SDN:P01::TEMPPR01,SDN:P01::TEMPRTNX",,,,,,14.0,F,{'CHE'}
temperature:reversing,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP681,SDN:P01::TEMPR601",,,,,,,,
temperature:reversing,deg C \(IPTS68\),,,float32,Temperature Reversing,,degree_celsius,,,,,,,,14.0,F,{'CHE'}
temperature:second,deg c \(ITS\-90\)|deg C \(ITS90\)|deg C \(ITS9|deg C|deg C \(ITS-90\),,,float32,Temperature Second,,degree_celsius (ITS-90),,,,,,,,20.0,F,{'ANE'}
temperature:secondary,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,"SDN:P01::TEMPPR02,SDN:P01::TEMPP682",,,,,,,,
temperature:secondary,deg C (ITS90),,,,,sea_water_temperature,deg C (ITS-90),,"SDN:P01::TEMPPR02,SDN:P01::TEMPP902",,,,,,,,
temperature:secondary,deg C \(IPTS68\),,,float32,Temperature Secondary,,degree_celsius (IPTS-68),,,,,,,,2.0,F,{'CTD'}
temperature:secondary,deg C \(ITS90\),,,float32,Temperature Secondary,,degree_celsius (ITS-90),,,,,,,,,,
temperature:smoothed,deg C (IPTS68),,,,,sea_water_temperature,deg C (IPTS-68),,"SDN:P01::TEMPPR01,SDN:P01::TEMPP681",,,,,,,,
temperature:smoothed,deg C \(IPTS68\),,,float32,Temperature Smoothed,,,,,,,,,,7.0,F,{'CTD'}
temperature:temperature_humidity_sun_index,deg C,,,float32,Temperature Temperature Humidity Sun Index,,degree_celsius,,,,,,,,,,
temperature:temperature_humidity_sun_index,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Temperature Humidity Sun Index,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:temperature_humidity_sun_wind_index,deg C,,,float32,Temperature Temperature Humidity Sun Wind Index,,degree_celsius,,,,,,,,9.0,F,{'ANE'}
temperature:temperature_humidity_wind_index,deg C,,,float32,Temperature Temperature Humidity Wind Index,,degree_celsius,,,,,,,,,,
temperature:temperature_humidity_wind_index,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Temperature Humidity Wind Index,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
temperature:upcast,deg C (ITS90),,,,,sea_water_temperature,deg C (ITS-90),,"SDN:P01::TEMPS901,SDN:P01::TEMPPR01",,,,,,,,
temperature:upcast,deg C \(ITS90\),,,float32,Temperature Upcast,,,,,,,,,,4.0,F,{'CTD'}
temperature:wind_chill_index,deg C,,,float32,Temperature Wind Chill Index,,degree_celsius,,,,,,,,,,
temperature:wind_chill_index,deg c \(ITS\-90\)|deg C \(ITS9|deg C \(ITS-90\)|deg C \(ITS90\),,,float32,Temperature Wind Chill Index,,degree_celsius (ITS-90),,,,,,,,31.0,F,{'ANE'}
thin flag,None,,,float32,,,,,,,,,,,,,
thin flag,,,,,,,,,,,,,,,,,
time,HH:MM:SS,,,str,,,HH:MM:SS,,,,,,,,,,
time,,,,double,time,time,,,,,,,,,,,
time:day_of_year,days,,,float32,Time Day Of Year,,days,,,,,,,,,,
time:utc,,,,,,,,,,,,,,,,,
total_suspended_solids,mg\/L,,,,,mass_concentration_of_suspended_matter_in_sea_water,mg/L,,SDN:P01::RBYJLY26,,,,,,,,
total_suspended_solids,mg\/m3,,,,,mass_concentration_of_suspended_matter_in_sea_water,mg/m3,,SDN:P01::RBYJLY26,,,,,,,,
total_suspended_solids,mg\/m3|ug\/L,,,float32,Total Suspended Solids,,ug/L,,,,,,,,6.0,F8.2,{'CHE'}
total_suspended_solids,ppmV,,,,,,ppmV,,SDN:P01::RBYJLY26,,,,,,,,
total_suspended_solids,ppmV|mg/L,,,float32,Total Suspended Solids,,,,,,,,,,153.0,F,{'BOT'}
total_suspended_solids,ug\/L,,,,,mass_concentration_of_suspended_matter_in_sea_water,ug/L,,SDN:P01::RBYJLY26,,,,,,,,
transmissivity,%\/5cm,,,,,,%/5cm,,SDN:P01::ABS650AC,,,,,,,,
transmissivity,%\/metre,,,float32,Sea Water Transmissivity,,%/metre,,SDN:P01::ABS650AC,,,,,,,,
transmissivity,\%\/5cm,,,float32,Transmissivity,,,,,,,,,,33.0,F,{'CTD'}
transmissivity2,%\/metre,,,float32,Transmissivity2,,%/metre,,SDN:P01::ABS650AC,,,,,,43.0,F,"{'CHE, 'CTD'}"
transmissivity:ctd,%\/metre,,,float32,Transmissivity CTD,,%/metre,,,,,,,,,,
transmissivity:green,%\/metre,,,float32,Transmissivity Green,,%/metre,,,,,,,,310.0,F,{'CHE'}
tritium,TU81N,,,float32,Tritium,,TU81N,,SDN:P01::MXTX3H1H,,,,,,18.0,F7.2,{'BOT'}
turbidity,NTU,,,f,Turbidity,sea_water_turbidity,NTU,,SDN:P01::TURBXXXX,,,,,,5.0,f,{'CTD'}
turbidity:seapoint,FTU,,,float32,Turbidity,sea_water_turbidity,FTU,,SDN:P01::TURBSP01,,,,,,,,
turbidity:wetlabs,FTU,,,,,sea_water_turbidity,FTU,,SDN:P01::TURBPR01,,,,,,,,
turbidity:wetlabs,NTU,,,,,sea_water_turbidity,NTU,,SDN:P01::TURBPR01,,,,,,,,
turbidity:wetlabs,NTU|FTU,,,float32,Turbidity Wetlabs,,,,,,,,,,43.0,F,{'CTD'}
turbidity:wetlabs:eco-ntu,None,,,float32,Turbidity WETLabs ECO-NTU,sea_water_turbidity,,,SDN:P01::TURBPR01,,,,,,9.0,F,{'CTD'}
turbidity:wetlabs:eco-ntu,,,,,,sea_water_turbidity,,,SDN:P01::TURBPR01,,,,,,,,
turbidity:wetlabs:ntu,None,,,float32,Turbidity WETLabs NTU,sea_water_turbidity,,,SDN:P01::TURBPR01,,,,,,1.0,F,{'CTD'}
turbidity:wetlabs:ntu,,,,,,sea_water_turbidity,,,SDN:P01::TURBPR01,,,,,,,,
uv:dose,MEDs,,,float32,UV Dose,,MEDs,,,,,,,,9.0,F,{'ANE'}
uv:high,,,,float32,UV High,,,,,,,,,,9.0,F,{'ANE'}
uv:index,,,,float32,UV Index,,,,,,,,,,9.0,F,{'ANE'}
uv_dose,MEDs,,,float32,UV Dose,,MEDs,,,,,,,,,,
uv_dose:flag,,,,int32,UV Dose Flag,,,,,,,,,,3.0,I,{'ANE'}
uv_high,,,,float32,UV High,,,,,,,,,,,,
uv_high:flag,,,,int32,UV High Flag,,,,,,,,,,3.0,I,{'ANE'}
uv_index,,,,float32,UV Index,,,,,,,,,,,,
uv_index:flag,,,,int32,UV Index Flag,,,,,,,,,,3.0,I,{'ANE'}
vitamin b12,m-microg\/l,,,,Vitamin B12,,m-microg/l,,,,,,,,42.0,,{'UBC'}
voltage,None,,,f,Voltage,,,,,,,,,,1.0,f,{'CTD'}
wind:sampling_period,s,,,float32,Wind Sampling Period,,s,,,,,,,,,,
wind:tx,,,,int32,Wind Tx,,,,,,,,,,9.0,I,{'ANE'}
wind_tx,,,,float32,Wind TX,,,,,,,,,,,,
