ios_name,accepted_units,equivalent_to,apply_func,datatype,long_name,standard_name,units,scale,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,rename,need_review,file,ios_type,file_extension
chlorophyll:extracted:>5.0um,mg\/m\^3,,,float32,Chlorophyll Extracted >5.0um,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,7.0,F,{'CHE'}
chlorophyll_plus_phaeo-pigment:extracted,mg\/m\^3,,,float32,Chlorophyll plus Phaeo-Pigment Extracted,,mg/m^3,,,,,,,,8.0,F,{'CHE'}
conductance:specific,S\/m,,,float32,Conductance Specific,,S/m,,,,,,,,551.0,F,{'CTD'}
conductance:specific,mS\/cm,,,float32,Conductance Specific,,mS/cm,,,,,,,,551.0,F,{'CTD'}
conductivity,Ratio,,,,Conductivity,,Ratio,,,,,,,,378.0,,{'BOT'}
conductivity,S\/m,,,,,sea_water_electrical_conductivity,S/m,,SDN:P01::CNDCST01,,,,,,,,
conductivity,counts|count,,,float32,Sea Water Electrical Conductivity,sea_water_electrical_conductivity,count,,,,,,CNDCZZ01,,,,
conductivity,mS\/cm,,,,,sea_water_electrical_conductivity,mS/cm,,SDN:P01::CNDCST01,,,,,,,,
conductivity,ms\/cm|mS\/cm,,lambda x: x/10,float32,Sea Water Electrical Conductivity,sea_water_electrical_conductivity,S/cm,,,,,,CNDCST01,,,,
conductivity,s\/m|S\/m,,,float32,Sea Water Electrical Conductivity,sea_water_electrical_conductivity,S/m,,,,,,CNDCST01,,,,
conductivity:primary,S\/m,,,float32,Conductivity Primary,sea_water_electrical_conductivity,S/m,,SDN:P01::CNDCST01,,,,,,,,
conductivity:primary,mS\/cm,,lambda x: x/10,float32,Conductivity Primary,sea_water_electrical_conductivity,mS/cm,,SDN:P01::CNDCST01,,,,,,206.0,F,{'CTD'}
conductivity:secondary,S\/m,,,float32,Conductivity Secondary,sea_water_electrical_conductivity,S/m,,SDN:P01::CNDCST02,,,,,,227.0,F,{'CHE'}
conductivity:upcast,S\/m,,,float32,Conductivity Upcast,sea_water_electrical_conductivity,S/m,,SDN:P01::CNDCST01,,,,,,4.0,F,{'CTD'}
conductivity_gsw,S\/m,,,float32,Sea Water Electrical Conductivity gsw,sea_water_conductivity,S/m,,,,,,bodc_code,,,,
conductivity_ratio,None,,,float32,Sea Water Conductivity Ratio,,,,,,,,,,,,
conductivity_ratio,,,,,,,,,,,,,,,,,
current:oxygen,mA,,,float32,Current Oxygen,,mA,,,,,,,,206.0,F,{'CTD'}
date,YYYY\/MM\/DD,,,str,,,YYYY/MM/DD,,,,,,,,,,
degree_days:cooling,deg C \(ITS\-90\) \(ITS90\) da|deg c \(ITS\-90\) day|deg C  \(ITS90\)day|deg C \(ITS-90\) day|deg C \(ITS-90\)day|deg C \(ITS9|deg C \(ITS90\) day,,,float32,Degree Days Cooling,,deg C (ITS-90) day,,,,,,,,31.0,F,{'ANE'}
degree_days:cooling,deg C day,,,float32,Cooling Degree Days,,deg C day,,,,,,,,,,
degree_days:heating,deg C \(ITS\-90\) \(ITS90\) da|deg c \(ITS\-90\) day|deg C \(ITS-90\) day|deg C \(ITS-90\)day|deg C \(ITS9|deg C \(ITS90\) day,,,float32,Degree Days Heating,,deg C (ITS-90) day,,,,,,,,31.0,F,{'ANE'}
degree_days:heating,deg C day,,,float32,Heating Degree Days,,deg C day,,,,,,,,,,
degree_days:heating,,,,float32,Degree Days Heating,,,,,,,,,,5.0,F,{'ANE'}
density,kg\/m\^3,,,float32,Density,sea_water_density,kg/m^3,,"SDN:P01::POTDENS0,SDN:P01::POTDENS1,SDN:P01::POTDENS2,SDN:P01::POTDENS3,SDN:P01::POTDENS4,",,,,,,616.0,F,{'CTD'}
density:air:inside,kg\/m\^3,,,float32,Air Density Inside,,kg/m^3,,,,,,,,,,
depth,Metres|m|meters|metre|metres,,,,,depth,m,,SDN:P01::ADEPZZ01,,,,,,,,
depth,metres,,,,,depth,m,,SDN:P01::ADEPZZ01,,,,,,,,
depth,m|metres|metre|meter|meters|Metres|Metre|Meter|Meters,,,float32,Depth below surface,depth,,,SDN:P01::ADEPZZ01,,,,,,,,
depth,,,,float32,Depth below surface,depth,,,SDN:P01::ADEPZZ01,,,,,,,,
depth:corrected,metres,,,float32,Depth Corrected,depth,m,,SDN:P01::ADEPZZ01,,,,,,27.0,F,{'BOT'}
depth:ctd,metres,,,float32,Depth CTD,depth,m,,SDN:P01::ADEPZZ01,,,,,,56.0,F,{'BOT'}
depth:nominal,metres|meters,,,float32,Depth Nominal,depth,m,,SDN:P01::ADEPZZ01,,,,,,26.0,F7.1,{'CHE'}
dimethyl_sulphide,nmol\/L,,,float32,Dimethyl Sulphide,mole_concentration_of_dimethyl_sulfide_in_sea_water,nmol/L,,SDN:P01::DMSXGCDZ,,,,,,,,
dimethyl_sulphide,umol\/L,,,float32,Dimethyl Sulphide,mole_concentration_of_dimethyl_sulfide_in_sea_water,umol/L,,SDN:P01::DMSXGCDZ,,,,,,2.0,F,{'CHE'}
dimethylsulfoniopropionate_dissolved,nmol\/L,,,float32,Dimethylsulfoniopropionate Dissolved,,nmol/L,,SDN:P01::DMSPGCD1,,,,,,,,
dimethylsulfoniopropionate_dissolved,umol\/L,,,float32,Dimethylsulfoniopropionate Dissolved,,umol/L,,SDN:P01::DMSPGCD2,,,,,,4.0,F,{'CHE'}
dimethylsulfoniopropionate_total,nmol\/L,,,float32,Dimethylsulfoniopropionate Total,,nmol/L,,SDN:P01::DMSPGCTX,,,,,,,,
dimethylsulfoniopropionate_total,umol\/L,,,float32,Dimethylsulfoniopropionate Total,,umol/L,,SDN:P01::DMSPGCTX,,,,,,3.0,F,{'CHE'}
direction:buoy:geog(to),degrees,,,float32,Direction Buoy Geog(to),,degrees,,,,,,,,1.0,F,{'ANE'}
direction:geog(to),degrees,,,float32,sea_water_velocity_to_direction,degrees,,,,,,,LCDAEL01,,,,
direction:geog(to),,,,float32,sea_water_velocity_to_direction,degrees,,,,,,,LCDAEL01,,,,
direction:wind:geog(from),degrees,,,float32,Wind Direction Geographic From,,degrees,,,,,,,,,,
direction:wind:geog(from):high,degrees,,,float32,Wind Direction Geographic From,,degrees,,,,,,,,,,
direction:wind:geog(from):high:flag,,,,int32,Direction Wind Geog(from) High Flag,,,,,,,,,,3.0,I,{'ANE'}
direction:wind:geog(from:flag,,,,int32,Direction Wind Geog(from Flag,,,,,,,,,,3.0,I,{'ANE'}
dissolved_oxygen,mL\/L,,,,Dissolved Oxygen,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,378.0,,{'BOT'}
energy:solar,Ly,,,float32,Solar Energy,,Ly,,,,,,,,,,
energy:solar:flag,,,,int32,Energy Solar Flag,,,,,,,,,,4.0,I,{'ANE'}
equilibrium_moisture_content_of_wood,%,,,float32,Equilibrium Moisture Content of Wood,,%,,,,,,,,,,
ethane,nmol\/L,,,float32,Ethane,,nmol/L,,SDN:P01::AX02GCTX,,,,,,2.0,F6.1,{'CHE'}
ethylene,nmol\/L,,,float32,Ethylene,,nmol/L,,,,,,,,2.0,F6.1,{'CHE'}
evapotranspiration,mm\/h,,,float32,Evapotranspiration,,mm/h,,,,,,,,,,
event_number,None,,,int32,Event Number,,,,,,,,,,,,
event_number,,,,,,,,,,,,,,,,,
flag,None,,,str,,,,,,,,,,,,,
flag:at_sea,None,,,double,Flag at Sea,,,,,,,,,,,,
flow_rate,L\/min,,,float32,Flow Rate,,L/min,,,,,,,,,,
flow_rate_fl,L\/min,,,float32,Flow Rate FL,,L/min,,,,,,,,,,
fluorescence,mg\/m\^3|ug\/L,,,,,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,,,
fluorescence,ug\/L|mg\/m\^3,,,float32,Fluorescence,,,,,,,,,,5.0,f,{'CTD'}
fluorescence:calibrated,mg\/m\^3,,,float32,Sea Water Calibrated Fluorescence,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,"SDN:P01::CPHLPR01,SDN:P01::CPHLPS01",,,,,,,,
fluorescence:calibrated:seapoint,mg\/m\^3,,,float32,Sea Water Calibrated Fluorescence Seapoint,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,"SDN:P01::CPHLPR01,SDN:P01::CPHLPS01",,,,,,,,
fluorescence:calibrated:seatech,mg\/m\^3,,,float32,Fluorescence Calibrated Seatech,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,"SDN:P01::CPHLPR01,SDN:P01::CPHLPS01",,,,,,12.0,F,{'CHE'}
fluorescence:calibrated:wetlab,mg\/m\^3,,,float32,Sea Water Calibrated Fluorescence WetLabs,,mg/m^3,,,,,,,,,,
fluorescence:calibrated:wetlabs,mg\/m\^3,,,,,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,"SDN:P01::CPHLPR01,SDN:P01::CPHLPS01",,,,,,,,
fluorescence:ctd,mg\/m\^3,,,float32,Fluorescence CTD,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,,,
fluorescence:uru,mg\/m\^3,,,float32,Sea Water Fluorescence,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,,,
fluorescence:uru:ctd,mg\/m\^3,,,float32,Fluorescence URU CTD,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,18.0,F,{'BOT'}
fluorescence:uru:rbr,mg\/m\^3,,,float32,Fluorescence URU RBR,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,5.0,F,{'CTD'}
fluorescence:uru:seapoint,mg\/m\^3,,,float32,Sea Water Fluorescence Seapoint,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,,,
fluorescence:uru:seapoint:2,mg\/m\^3,,,float32,Fluorescence URU Seapoint 2,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR02,,,,,,17.0,F,{'CHE'}
fluorescence:uru:seatech,mg\/m\^3,,,float32,Fluorescence URU Seatech,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,472.0,F,"{'CHE, 'CTD'}"
fluorescence:uru:upcast,mg\/m\^3,,,float32,Fluorescence URU Upcast,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,4.0,F,{'CTD'}
