Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,long_name,expected_units,scale,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,definition,convention,scale_factor,GF3_name,Alternative units,SDN:P01::Alternative Name
GF3,ALKP,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,micromole per kilogram,,,,,,,,,,,,,,,,,ALKP,,
GF3,ALKT,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,micromole per kilogram,,,,,,,,,,,,,,,,,ALKT,,
GF3,ALKY,"BIO,IML,MEDS",A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,mmol/m^3,MMCM,millimoles per cubic metre,ALKYZZXX,Total alkalinity per unit volume of the water body,,,,,mmol/m^3|millimole per metre cube,,,,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX/,ALKYZZXX,Total alkalinity per unit volume of the water body,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,MMCM,Millimoles per cubic metre,SDN:P06::MMCM,Millimoles per cubic metre,Total alkalinity per unit volume of the water body,,,ALKY,,
GF3,ALLO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,milligram per metre cube,,,,,,,,,,,,,,,,,ALLO,,
GF3,ALPO,"BIO,IML",A,General purpose,Tout usage,metre cube per kilogram,mètre cube par kilogramme,,,,,m^3/ kg,,,,,,,,,m^3/ kg|metre cube per kilogram,,,,,,,,,,,,,,,,,ALPO,,
GF3,ALTB,"BIO,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,height_above_bottom,,,metres,ULAA,metres,AHSGZZ01,Height above bed in the water body,,,,,m|metre|metres,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,,,,ALTB,,
GF3,ALTG,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_ground_level,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,ALTG,,
GF3,ALTS,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,,,,metres,ULAA,metres,AHSLZZ01,Height above sea level (spatial co-ordinate),,,,,metre,,,,http://vocab.nerc.ac.uk/collection/P01/current/AHSLZZ01/,AHSLZZ01,Height (spatial coordinate) relative to sea level,SDN:P01::AHSLZZ01,Height (spatial coordinate) relative to sea level,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,Height (spatial coordinate) relative to sea level,,,ALTS,,
GF3,AMON,"BIO,IML,MEDS",A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,mmol/m^3,MMCM,millimoles per cubic metre,MDMAP04,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit mass of the water body [unknown phase],millimole_concentration_of_ammonium_in_sea_water,,,,mmol/m^3|millimole per metre cube,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,MMCM,Millimoles per cubic metre,SDN:P06::MMCM,Millimoles per cubic metre,,,,AMON,,
GF3,ANH$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,height_of_anemometer_above_sea_level,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,ANH$,,
GF3,ANT$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,anemometer_type,114,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,ANT$,,
GF3,APC1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_surface_current,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,APC1,,
GF3,APER,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_for_averaging_measurement,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,APER,,
GF3,APN$,MEDS,A,General purpose,Tout usage,text,texte,,period_for_averaging_salinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APN$,,
GF3,APP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,count,compte,,,,,,,,,,,,,,count,,,,,,,,,,,,,,,,,APP$,,
GF3,APR$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APR$,,
GF3,APS1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,APS1,,
GF3,APT1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_temperature,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,APT1,,
GF3,AQA$,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AQA$,,
GF3,AREA,MEDS,A,General purpose,Tout usage,code table,table de code,,area_code_NODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AREA,,
GF3,ARG$,MEDS,A,General purpose,Tout usage,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG$,,
