OWNER,GF3_CODE,MEDS:index,MEDS:GF3_CODE,MEDS:OWNER,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:P01 urn,BIO:P01 name,BIO:P06 name,BIO:OWNER,BIO:CF_CODE,BIO:P06 urn,BIO:GF3_CODE,BIO:units,CF_CODE,NERC:P07 id,NERC:P01 id,NERC:P01 urn
IML,DRYT,360.0,DRYT,IML,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,degrees Celsius,BIO,,UPAA,DRYT,degrees celsuis,,,http://vocab.nerc.ac.uk/collection/P01/current/CDTASS01/,CDTASS01
IML,DYNH,376.0,DYNH,IML,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,,,metres,BIO,geopotential_height,ULAA,DYNH,m,geopotential_height,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0628/,,
IML,ERRV,398.0,ERRV,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LERRAP01,Current velocity error in the water body by moored acoustic doppler current profiler (ADCP),metres per second,BIO,,UVAA,ERRV,m/s,,,http://vocab.nerc.ac.uk/collection/P01/current/LERRAP01/,LERRAP01
IML,EWCM,405.0,EWCM,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,,,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCM,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,
IML,EWCT,408.0,EWCT,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LCEWZZ01,Eastward current velocity in the water body,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCT,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/,LCEWZZ01
IML,FFFF,422.0,FFFF,IML,A,General purpose,Tout usage,code table,table de code,,,,,,,,BIO,,,FFFF,code,,,,
IML,FLOR,429.0,FLOR,IML,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,BIO,,,FLOR,mg/ m^3,,,,
IML,FLOR,429.0,FLOR,IML,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,FLUOZZZZ,Fluorescence of the water body,,BIO,,,FLOR,,,,http://vocab.nerc.ac.uk/collection/P01/current/FLUOZZZZ/,FLUOZZZZ
IML,FLU_,436.0,FLU_,IML,A,Biological Oceanography,Océanographie biologique,percent,pourcentage,,,,,,,,,,,,,,,,
IML,GDIR,460.0,GDIR,IML,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere,degrees,BIO,wind_gust_from_direction,UAAA,GDIR,degrees,wind_gust_from_direction,http://vocab.nerc.ac.uk/collection/P07/current/LIZMDSCX/,http://vocab.nerc.ac.uk/collection/P01/current/EGTDZZ01/,EGTDZZ01
IML,GEOP,468.0,GEOP,IML,A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,,,,,BIO,geopotential,,GEOP,,geopotential,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0627/,,
IML,GSPD,507.0,GSPD,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,metres per second,BIO,wind_speed_of_gust,UVAA,GSPD,m/s,wind_speed_of_gust,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0039/,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01/,EGTSZZ01
IML,HCDM,516.0,HCDM,IML,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,LCDAZZ01,Current direction in the water body,degrees,BIO,,UAAA,HCDM,degrees,,,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/,LCDAZZ01
IML,HCDT,519.0,HCDT,IML,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,,,degrees,BIO,,UAAA,HCDT,degrees,,,,
IML,HCSP,523.0,HCSP,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LCSAZZ01,Current speed (Eulerian) in the water body,metres per second,BIO,barotropic_sea_water_x_velocity,UVAA,HCSP,m/s,barotropic_sea_water_x_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CF12N188/,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01/,LCSAZZ01
IML,HGHT,532.0,HGHT,IML,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,metres,BIO,height_above_mean_sea_level,ULAA,HGHT,metres,height_above_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/8BFOBHU2/,,
IML,HSUL,555.0,HSUL,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],millimoles per cubic metre,BIO,,MMCM,HSUL,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/H2SXZZXX/,H2SXZZXX
IML,IDEN,571.0,IDEN,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,,,,,,,,,
IML,LATD,596.0,LATD,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,ALATZZ01,Latitude north,degrees,BIO,latitude,UAAA,LATD,degrees,latitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0600/,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01/,ALATZZ01
IML,LOND,616.0,LOND,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,ALONZZ01,Longitude east,degrees,BIO,longitude,UAAA,LOND,degrees,longitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0554/,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,ALONZZ01
IML,MAGN,637.0,MAGN,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,MAGDCORR,Diurnal variation correction of magnetic field of the Earth,degrees,BIO,,UAAA,MAGN,degrees,,,http://vocab.nerc.ac.uk/collection/P01/current/MAGDCORR/,MAGDCORR
IML,NETR,670.0,NETR,IML,A,Meteorology,Météorologie,watt per metre square,watt par mètre carré,,,,,,,watts per square metre,BIO,solar_irradiance,UWCM,NETR,watts/ m^3,solar_irradiance,http://vocab.nerc.ac.uk/collection/P07/current/WC485N1Y/,,
IML,NONE,678.0,NONE,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,NONE,,,,,
IML,NORG,680.0,NORG,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,DONXXXX1,Concentration of organic nitrogen {organic_N} {DON} per unit volume of the water body [dissolved plus reactive particulate <GF/F phase],millimoles per cubic metre,BIO,mass_concentration_of_organic_nitrogen_in_sea_water,MMCM,NORG,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/DONXXXX1/,DONXXXX1
IML,NSCM,693.0,NSCM,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,,,metres per second,BIO,northward_sea_water_velocity,UVAA,NSCM,m/s,northward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0494/,,
IML,NSCT,696.0,NSCT,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LCNZZ01,Northward current velocity in the water body,metres per second,BIO,northward_sea_water_velocity,UVAA,NSCT,m/s,northward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0494/,,
IML,NTOT,703.0,NTOT,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,MDMAP013,Concentration of total nitrogen {total_N} per unit volume of the water body [particulate >unknown phase],millimoles per cubic metre,BIO,,MMCM,NTOT,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP013/,MDMAP013
IML,NTRA,706.0,NTRA,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,NTRAXXDZ,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],millimoles per cubic metre,BIO,mole_concentration_of_nitrate_in_sea_water,MMCM,NTRA,mmol/m^3,mole_concentration_of_nitrate_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0806/,http://vocab.nerc.ac.uk/collection/P01/current/NTRAXXDZ/,NTRAXXDZ
IML,NTRI,710.0,NTRI,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],millimoles per cubic metre,BIO,mole_concentration_of_nitrite_in_sea_water,MMCM,NTRI,mmol/m^3,mole_concentration_of_nitrite_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/DDAEDBBI/,http://vocab.nerc.ac.uk/collection/P01/current/NTRIXXDZ/,NTRIXXDZ
IML,NTRZ,714.0,NTRZ,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,NTRZXXDZ,Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],millimoles per cubic metre,BIO,mole_concentration_of_nitrate_and_nitrite_in_sea_water,MMCM,NTRZ,mmol/m^3,mole_concentration_of_nitrate_and_nitrite_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/DABDADJB/,http://vocab.nerc.ac.uk/collection/P01/current/NTRZXXDZ/,NTRZXXDZ
IML,NUM_,720.0,NUM_,IML,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,,,,,,,,,,,,,
IML,OCUR,745.0,OCUR,IML,A,Instrument characteristics,Caractéristiques de l'instrument,microampere,microampère,,,,,OXYCRW01,Instrument output (current) by oxygen sensor,,BIO,,,OCUR,ma,,,http://vocab.nerc.ac.uk/collection/P01/current/OXYCRW01/,OXYCRW01
IML,OPPR,759.0,OPPR,IML,A,Biological Oceanography,Océanographie biologique,dimensionless,sans dimension,,,,,,,,BIO,partial_pressure_of_oxygen_in_sea_water,,OPPR,,,,,
IML,OPPR,759.0,OPPR,IML,A,Biological Oceanography,Océanographie biologique,dimensionless,sans dimension,,,,,PO2XXXXX,Partial pressure of oxygen {O2 CAS 7782-44-7} in the water body,,BIO,,,OPPR,,,,http://vocab.nerc.ac.uk/collection/P01/current/PO2XXXXX/,PO2XXXXX
IML,OSAT,761.0,OSAT,IML,A,Chemistry,Chimie,percent,pourcentage,,,,,OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase],percent,BIO,fractional_saturation_of_oxygen_in_sea_water,UPCT,OSAT,%,fractional_saturation_of_oxygen_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0623/,http://vocab.nerc.ac.uk/collection/P01/current/OXYSZZ01/,OXYSZZ01
IML,OTMP,765.0,OTMP,IML,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,,OXYTPR01,Temperature of oxygen sensor membrane,degrees Celsius,BIO,,UPAA,OTMP,degrees Celsius,,,http://vocab.nerc.ac.uk/collection/P01/current/OXYTPR01/,OXYTPR01
IML,OXV_,768.0,OXV_,IML,A,Biological Oceanography,Océanographie biologique,volt,volt,,,,,,,,,,,,,,,,
IML,OXYG,770.0,OXYG,IML,A,Biological Oceanography,Océanographie biologique,micromole per kilogram,micromole par kilogramme,,,,,DOXMZZXX,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase],micromole per kilogram,BIO,,KGUM,OXYG,umol/kg,,,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,DOXMZZXX
IML,PHA_,825.0,PHA_,IML,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
IML,PHOS,829.0,PHOS,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],Millimoles per cubic metre,BIO,mole_concentration_of_phosphate_in_sea_water,MMCM,PHOS,mmol/m^3,mole_concentration_of_phosphate_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CF12N502/,http://vocab.nerc.ac.uk/collection/P01/current/PHOSYYDZ/,PHOSYYDZ
IML,PHPH,833.0,PHPH,IML,A,Chemistry,Chimie,dimensionless,sans dimension,,,,,PHXXZZXX,pH per unit volume of the water body,,BIO,sea_water_ph_reported_on_total_scale,,PHPH,,sea_water_ph_reported_on_total_scale,http://vocab.nerc.ac.uk/collection/P07/current/CF14N56/,http://vocab.nerc.ac.uk/collection/P01/current/PHXXZZXX/,PHXXZZXX
IML,PIM_,839.0,PIM_,IML,A,Biological Oceanography,Océanographie biologique,gram per metre cube,gramme par mètre cube,,,,,,,,,,,,,,,,
IML,POC_,857.0,POC_,IML,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,,,,,,,,,,,,,
IML,POM_,863.0,POM_,IML,A,Biological Oceanography,Océanographie biologique,gram per metre cube,gramme par mètre cube,,,,,,,,,,,,,,,,
IML,PON_,865.0,PON_,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,,,,,,,,,,,,
IML,POTM,867.0,POTM,IML,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,,,,degrees Celsius ,BIO,,UPAA,POTM,degrees Celsius,,,,
IML,POTT,871.0,POTT,IML,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,CPATZZ01,Potential temperature of the atmosphere,degrees Celsius,BIO,,UPAA,POTT,degrees Celsius,,,http://vocab.nerc.ac.uk/collection/P01/current/CPATZZ01/,CPATZZ01
IML,PPTR,883.0,PPTR,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,PPTR,,,,,
IML,PRES,887.0,PRES,IML,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,,PRESPR01,Pressure (spatial co-ordinate) exerted by the water body by profiling pressure sensor and corrected to read zero at sea level,decibars,BIO,sea_water_pressure,UPDB,PRES,decibars,sea_water_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0330/,http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/,PRESPR01
IML,PSAL,908.0,PSAL,IML,A,Physical Oceanography,Océanographie physique,practical salinity unit (PSS-78),unité de salinité pratique (PSS-78),,,,,PSLTZZ01,Practical salinity of the water body,,BIO,sea_water_practical_salinity,,PSAL,psu,sea_water_practical_salinity,http://vocab.nerc.ac.uk/collection/P07/current/IADIHDIJ/,http://vocab.nerc.ac.uk/collection/P01/current/PSLTZZ01/,PSLTZZ01
IML,PSAR,912.0,PSAR,IML,A,Biological Oceanography,Océanographie biologique,microeinstein per metre square per second,microeinstein par mètre carré par seconde,,,,,,,,,,,,,,,,
IML,PTCH,918.0,PTCH,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,PTCHGP01,Orientation (pitch) of measurement device by unspecified GPS system,degrees,BIO,platform_pitch,UAAA,PTCH,degrees,platform_pitch,http://vocab.nerc.ac.uk/collection/P07/current/UOMSLR0H/,http://vocab.nerc.ac.uk/collection/P01/current/PTCHGP01/,PTCHGP01
IML,PVAR,928.0,PVAR,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,PVAR,,,,,
IML,QCFF,948.0,QCFF,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,,,,,,,,,
IML,QQQQ,964.0,QQQQ,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,QQQQ,,,,,
IML,RANG,975.0,RANG,IML,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,metres,BIO,,ULAA,RANG,metres,,,,
IML,REFR,992.0,REFR,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,REFR,,,,,
IML,RELH,994.0,RELH,IML,A,Meteorology,Météorologie,percent,pourcentage,,,,,CHUMZZ01,Relative humidity of the atmosphere,percent,BIO,relative_humidity,UPCT,RELH,%,relative_humidity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0413/,http://vocab.nerc.ac.uk/collection/P01/current/CHUMZZ01/,CHUMZZ01
IML,RELP,998.0,RELP,IML,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,,,,decibars,BIO,,UPDB,RELP,decibars,,,,
IML,ROLL,1010.0,ROLL,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,ROLLGP01,Orientation (roll angle) of measurement device by unspecified GPS system,degrees,BIO,platform_roll,UAAA,ROLL,degrees,platform_roll,http://vocab.nerc.ac.uk/collection/P07/current/STKKO0AT/,http://vocab.nerc.ac.uk/collection/P01/current/ROLLGP01/,ROLLGP01
IML,SDEV,1035.0,SDEV,IML,A,General purpose,Tout usage,unknown,inconnu,,,,,,,,,,,,,,,,
IML,SECC,1046.0,SECC,IML,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,,,,,,,,,,,,
IML,SIGO,1066.0,SIGO,IML,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,,,,kilograms per cubic metre,BIO,,UKMC,SIGO,kg/ m^3,,,,
IML,SIGP,1068.0,SIGP,IML,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,,SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,kilograms per cubic metre,BIO,sea_water_sigma_theta,UKMC,SIGP,kg/ m^3,sea_water_sigma_theta,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0333/,http://vocab.nerc.ac.uk/collection/P01/current/SIGTEQ01/,SIGTEQ01
IML,SIGT,1070.0,SIGT,IML,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,,SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kilograms per cubic metre,BIO,sea_water_sigma_t,UKMC,SIGT,kg/ m^3,sea_water_sigma_t,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0332/,http://vocab.nerc.ac.uk/collection/P01/current/SIGTEQST/,SIGTEQST
IML,SLCA,1076.0,SLCA,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],millimole per cubic metre,BIO,mole_concentration_of_silicate_in_sea_water,MMCM,SLCA,mmol/m^3,mole_concentration_of_silicate_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0810/,http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX/,SLCAZZXX
IML,SPEH,1098.0,SPEH,IML,A,Meteorology,Météorologie,gram per kilogram,gramme par kilogramme,,,,,CHUMSS01,Specific humidity of the atmosphere,grams per kilogram,BIO,specific_humidity,UGKG,SPEH,g/kg,specific_humidity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0313/,http://vocab.nerc.ac.uk/collection/P01/current/CHUMSS01/,CHUMSS01
IML,SPVA,1102.0,SPVA,IML,A,Physical Oceanography,Océanographie physique,metre cube per kilogram,mètre cube par kilogramme,,,,,,,,BIO,,,SPVA,m^3 / kg,,,,
IML,SPVO,1104.0,SPVO,IML,A,Physical Oceanography,Océanographie physique,metre cube per kilogram,mètre cube par kilogramme,,,,,,,,BIO,sea_water_volume,,SPVO,m^3/ kg,sea_water_volume,http://vocab.nerc.ac.uk/collection/P07/current/CF12N585/,,
IML,SSAL,1108.0,SSAL,IML,A,Physical Oceanography,Océanographie physique,gram per kilogram,gramme par kilogramme,,,,,ODSDM021,Salinity of the water body,grams per kilogram,BIO,sea_water_salinity,UGKG,SSAL,g/kg,sea_water_salinity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0331/,http://vocab.nerc.ac.uk/collection/P01/current/ODSDM021/,ODSDM021
IML,STRA,1132.0,STRA,IML,A,Instrument characteristics,Caractéristiques de l'instrument,pascal,pascal,,,,,,,pascals,BIO,,PASX,STRA,Pa,,,,
IML,STRD,1134.0,STRD,IML,A,Position and navigation,Position et navigation,degree(angle) True,degré(angle) vrai,,,,,,,degrees,BIO,,UAAA,STRD,degrees,,,,
IML,STRU,1136.0,STRU,IML,A,Instrument characteristics,Caractéristiques de l'instrument,pascal,pascal,,,,,NWSTRRXX,Northward wind stress on the water body,pascals,BIO,,PASX,STRU,Pa,,,http://vocab.nerc.ac.uk/collection/P01/current/NWSTRRXX/,NWSTRRXX
IML,STRV,1138.0,STRV,IML,A,Instrument characteristics,Caractéristiques de l'instrument,pascal,pascal,,,,,EWSTRRXX,Eastward wind stress on the water body,pascals,BIO,,PASX,STRV,Pa,,,http://vocab.nerc.ac.uk/collection/P01/current/EWSTRRXX/,EWSTRRXX
IML,SVEL,1144.0,SVEL,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,SVELXXXX,Sound velocity in the water body,metres per second,BIO,speed_of_sound_in_sea_water,UVAA,SVEL,m/s,speed_of_sound_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0316/,http://vocab.nerc.ac.uk/collection/P01/current/SVELXXXX/,SVELXXXX
IML,SYTM,1159.0,SYTM,IML,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,BIO,time,,SYTM,,time,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0115/,,
IML,TE90,1191.0,TE90,IML,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,,TEMPP901,Temperature (ITS-90) of the water body,degrees celsius,BIO,,UPAA,TE90,degrees c,,,http://vocab.nerc.ac.uk/collection/P01/current/TEMPP901/,TEMPP901
IML,TEMP,1196.0,TEMP,IML,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,,TEMPPR01,Temperature of the water body,degrees celsius,BIO,,UPAA,TEMP,degrees c,,,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/,TEMPPR01
IML,TEXT,1203.0,TEXT,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,TEXT,,,,,
IML,TILT,1214.0,TILT,IML,A,Instrument characteristics,Caractéristiques de l'instrument,degree(angle),degré(angle),,,,,ZNTHSS01,Orientation (tilt) of measurement platform by inclinometer,degrees,BIO,,UAAA,TILT,degrees,,,http://vocab.nerc.ac.uk/collection/P01/current/ZNTHSS01/,ZNTHSS01
IML,TOTP,1227.0,TOTP,IML,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,,PPSCZZ01,Pressure (measured variable) exerted by the water body plus atmosphere,decibars,BIO,sea_water_pressure,UPDB,TOTP,decibars,sea_water_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0330/,http://vocab.nerc.ac.uk/collection/P01/current/PPSCZZ01/,PPSCZZ01
IML,TPHS,1230.0,TPHS,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,TPHSZZXX,Concentration of total phosphorus {total_P CAS 7723-14-0} per unit volume of the water body [dissolved plus reactive particulate phase],millimoles per cubic metre,BIO,,MMCM,TPHS,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/TPHSZZXX/,TPHSZZXX
IML,TRAN,1234.0,TRAN,IML,A,Biological Oceanography,Océanographie biologique,percent,pourcentage,,,,,,,,,,,,,,,,
IML,TSM_,1243.0,TSM_,IML,A,Biological Oceanography,Océanographie biologique,gram per metre cube,gramme par mètre cube,,,,,,,,,,,,,,,,
IML,UNKN,1276.0,UNKN,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,BIO,,,UNKN,,,,,
IML,URE_,1280.0,URE_,IML,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,,,,,,,,,,,,,
IML,VAIS,1284.0,VAIS,IML,A,Physical Oceanography,Océanographie physique,hertz,hertz,,,,,BVFSTP01,Brunt-Vaisala frequency squared of the water body by turbulence profiler precision CTD,hertz,BIO,brunt_vaisala_frequency_in_sea_water,UTHZ,VAIS,hertz,,,http://vocab.nerc.ac.uk/collection/P01/current/BVFSTP01/,BVFSTP01
IML,VCSP,1300.0,VCSP,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LRZAZZZZ,Upward current velocity in the water body,metres per second,BIO,upward_sea_water_velocity,UVAA,VCSP,m/s,upward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0080/,http://vocab.nerc.ac.uk/collection/P01/current/LRZAZZZZ/,LRZAZZZZ
IML,WDIR,1416.0,WDIR,IML,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,ToTrue,,,degrees,BIO,wind_to_direction,UAAA,WDIR,degrees,wind_to_direction,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0041/,,
IML,WETT,1422.0,WETT,IML,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,CWETZZ01,Wet bulb temperature of the atmosphere,degrees Celsius,BIO,,UPAA,WETT,degrees c,,,http://vocab.nerc.ac.uk/collection/P01/current/CWETZZ01/,CWETZZ01
IML,WSPD,1441.0,WSPD,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,EWSBZZ01,Speed of wind {wind speed} in the atmosphere,metres per second,BIO,wind_speed,UVAA,WSPD,m/s,wind_speed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0038/,http://vocab.nerc.ac.uk/collection/P01/current/EWSBZZ01/,EWSBZZ01
IML,WSPE,1445.0,WSPE,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True,ESEWZZXX,Eastward velocity of wind in the atmosphere,metres per second,BIO,eastward_wind,UVAA,WSPE,m/s,eastward_wind,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0653/,http://vocab.nerc.ac.uk/collection/P01/current/ESEWZZXX/,ESEWZZXX
IML,WSPN,1448.0,WSPN,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True,ESNSZZXX,Northward velocity of wind in the atmosphere,metres per second,BIO,northward_wind,UVAA,WSPN,m/s,northward_wind,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0461/,http://vocab.nerc.ac.uk/collection/P01/current/ESNSZZXX/,ESNSZZXX
IML,WVER,1455.0,WVER,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,EWSWZZ01,Upward air velocity in the atmosphere,metres per second,BIO,upward_air_velocity,UVAA,WVER,m/s,upward_air_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0109/,http://vocab.nerc.ac.uk/collection/P01/current/EWSWZZ01/,EWSWZZ01
IML,ZNTH,1483.0,ZNTH,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,degrees,BIO,zenith_angle,UAAA,ZNTH,degrees,zenith_angle,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0044/,,
IOS,Adenosine_Triphosphate,88.0,Adenosine_Triphosphate,IOS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
IOS,Alkalinity:Carbonate,89.0,Alkalinity:Carbonate,IOS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,,,
