OWNER,GF3_CODE,MEDS:index,MEDS:GF3_CODE,MEDS:OWNER,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:P01 urn,BIO:P01 name,BIO:P06 name,BIO:OWNER,BIO:CF_CODE,BIO:P06 urn,BIO:GF3_CODE,BIO:units,CF_CODE,NERC:P07 id,NERC:P01 id,NERC:P01 urn
BIO,490L,,,,,,,,,,,,,RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,,BIO,,,490L,uW/cm^2/nm/sr,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490L/,RXUU490L
BIO,490LSDEV,,,,,,,,,,,,,,,,BIO,,,490LSDEV,Uw/cm^2/nm/sr,,,,
BIO,510E,,,,,,,,,,,,,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,510E,Uw/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510E/,RXUU510E
BIO,510ESDEV,,,,,,,,,,,,,,,,BIO,,,510ESDEV,Uw/cm^2/nm,,,,
BIO,510L,,,,,,,,,,,,,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,BIO,,,510L,uW/cm^2/nm/sr,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510L/,RXUU510L
BIO,510LSDEV,,,,,,,,,,,,,,,,BIO,,,510LSDEV,Uw/cm^2/nm/sr,,,,
BIO,555E,,,,,,,,,,,,,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,555E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555E/,RXUU555E
BIO,555ESDEV,,,,,,,,,,,,,,,,BIO,,,555ESDEV,uW/cm^2/nm,,,,
BIO,555L,,,,,,,,,,,,,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,BIO,,,555L,uW/cm^2/nm/sr,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555L/,RXUU555L
BIO,555LSDEV,,,,,,,,,,,,,,,,BIO,,,555LSDEV,Uw/cm^2/nm/sr,,,,
BIO,669E,,,,,,,,,,,,,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,669E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/IRRDE669/,IRRDE669
BIO,669ESDEV,,,,,,,,,,,,,,,,BIO,,,669ESDEV,uW/cm^2/nm,,,,
BIO,669L,,,,,,,,,,,,,,,,BIO,,,669L,uW/cm^2/nm/sr,,,,
BIO,669LSDEV,,,,,,,,,,,,,,,,BIO,,,669LSDEV,uW/cm^2/nm/sr,,,,
BIO,683E,,,,,,,,,,,,,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,683E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUD683E/,RXUD683E
BIO,683ESDEV,,,,,,,,,,,,,,,,BIO,,,683ESDEV,uW/cm^2/nm,,,,
BIO,683L,,,,,,,,,,,,,RXUUU683,Upwelling radiance as energy of electromagnetic radiation (683nm wavelength) in the water body by radiance sensor,,BIO,,,683L,uW/cm^2/nm/sr,,,,
BIO,683LSDEV,,,,,,,,,,,,,,,,BIO,,,683LSDEV,uW/cm^2/nm/sr,,,,
