group,station,longitude,latitude,depth_m,comments,
BIO,SSD3,-60.65,42.6,-3407,,
BIO,SSE00.5,-60.6,42.5167,-3480,,
BIO,STAB01,-59.533,46.0,-58.62,,
BIO,STAB02,-59.365,46.108,-63.94,,
BIO,STAB03,-59.195,46.217,-85.57,,
BIO,STAB04,-59.065,46.3,-151.37,,
BIO,STAB05,-58.883,46.417,-364.76,,
BIO,STAB06,-58.546,46.645,-407.4,,
BIO,STN27,-52.58494,47.54899,,,
BIO,WB01,-61.7878,43.3887,-90,Western Bank,
BIO,WB02,-61.5218,43.5748,-67,Western Bank,
BIO,WB03,-61.2105,43.7852,-56,Western Bank,
BIO,YL01,-66.4,43.75,-71.38,,
BIO,YL02,-66.851,43.68,-127.26,,
BIO,YL03,-67.302,43.61,-201.81,,
BIO,YL04,-67.753,43.539,-243.64,,
BIO,YL05,-68.212,43.469,-169.35,,
BIO,YL06,-68.664,43.399,-131.85,,
BIO,YL07,-69.106,43.328,-146.41,,
BIO,YL08,-69.557,43.258,-167.67,,
BIO,YL09,-70.01,43.186,-86.28,,
BIO,YL10,-70.272,43.157,-123.55,,
