Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,AST1,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,AST1,
GF3,AST2,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,AST2,
GF3,ASTD,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,ASTD,
GF3,ATBE,MEDS,per metre,,,,,,,per metre,,,,,,SDN:P06::UPRM,per metre,,,ATBE,
GF3,ATCK,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ATCK,
GF3,ATMP,"BIO,MEDS",hPa,,,,,,,hPa,,,air_pressure,,,SDN:P06::HPAX,Hectopascals,,,ATMP,
GF3,ATMS,"BIO,IML,MEDS",hectopascal|hPa,,,,,,,hectopascal,,,air_pressure_at_mean_sea_level,,,SDN:P06::HPAX,Hectopascals,,,ATMS,
GF3,ATP$,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,ATP$,
GF3,ATPT,MEDS,hectopascal per hour,,,,,,,hectopascal per hour,,,tendency_of_air_pressure,,,SDN:P06::HPAH,Hectopascals per hour,,,ATPT,
GF3,ATP_,"BIO,IML",mg/ m^3,,,,,ATPXZZDZ,,mg/ m^3,,,,SDN:P01::ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,ATP_,DissATP
GF3,ATRK,"BIO,IML,MEDS",metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,ATRK,
GF3,ATRK,BIO,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,ATRK,
GF3,ATTE,MEDS,per metre,,,,,,,per metre,,,,,,SDN:P06::UPRM,per metre,,,ATTE,
GF3,ATTU,"BIO,IML",/m|per metre,,,,,ATTNXXZZ,,/m,,,,SDN:P01::ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,SDN:P06::UPRM,per metre,Attenuation (unspecified wavelength) per unit length of the water body,,ATTU,Atten
GF3,AUTH,"IML,MEDS",none,,,,,,,none,,,,,,,,,,AUTH,
